epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_loss,val_gen_loss
87,0.0944434,0.9,0.98,0.02992251,0.729029,0.09043389341100254,0.8599588458920703,1.0,0.0,0.6627618282910728
88,0.05641685,0.98,0.97,0.033730622,0.7264121,0.13045743675020988,0.789670782079422,1.0,0.0,0.8308759562272594
89,0.19381805,0.7,0.94,0.046067376,0.60947067,0.06361095681633233,0.9114814822565872,1.0,0.0,0.553376742596489
90,0.21706769,1.0,0.61,0.21562795,0.98633647,0.25527836971076917,0.5058024667908625,1.0,0.0,0.9432587442084105
91,0.07847939,0.98,0.88,0.06331746,0.70456815,0.05965891953389095,0.940164611908634,1.0,0.0,0.7477586522023865
92,0.03495252,0.99,0.99,0.017854348,0.7887886,0.04860477834755992,0.9555144089239614,1.0,0.0,0.7380605798689917
93,0.04493691,1.0,0.97,0.035381246,0.7420641,0.03805969092504355,0.9711934220153118,1.0,0.0,0.7254951988718638
94,0.16803624,0.8,0.97,0.0280901,0.34502763,0.03665553233413785,0.959012350427761,1.0,0.0,0.3162479758753208
95,0.12941095,0.94,0.89,0.06909349,0.8598314,0.1553725303445824,0.7269547305725239,1.0,0.0,0.8495563045450689
96,0.064568646,0.94,1.0,0.01061675,0.7175839,0.0642059074461828,0.9194650220772858,1.0,0.0,0.7491779705133949
97,0.14313881,1.0,0.78,0.13575634,0.8627475,0.17303264352642458,0.6895061725206336,1.0,0.0,0.8454679564684017
98,0.07243036,0.89,1.0,0.00341685,0.75222427,0.036587241025250634,0.9674074154331851,1.0,0.0,0.6554270573113681
99,0.12559117,0.83,1.0,0.014123005,0.65545905,0.050594487560935965,0.9378189319445763,1.0,0.0,0.6338678922182248
