epoch,disc_loss,disc_model_3_acc,disc_model_3_acc_1,disc_model_3_acc_2,disc_model_3_loss,gen_loss,val_disc_loss,val_disc_model_3_acc,val_disc_model_3_acc_1,val_disc_model_3_acc_2,val_disc_model_3_loss,val_gen_loss
68,871.8078,0.09,0.88,0.89,0.0012873679,-17257.082,-15133.34603515625,0.1237199998870492,0.8171199988126755,0.8609599996805191,0.0016836290454957635,-18624.48494921875
69,857.15826,0.88,0.09,0.05,0.0014217496,5711.7476,2644.4399912109375,0.8791799989938736,0.0,0.036959999602288005,0.0018019410946872086,5413.115114257813
70,-582.54724,0.41,0.41,0.44,0.0014496695,-1406.8058,-8809.423125976562,0.2541799994558096,0.0,0.19368000003695487,0.002866521425312385,-1782.3547905273438
71,-3135.4868,0.73,0.2,0.28,0.0012321183,15797.997,7885.165729736328,0.7427400010824203,0.0003199999928474426,0.16926000030338764,0.002704724208684638,13607.556919921875
72,550.0545,0.99,0.0,0.02,0.001542739,13524.925,902.8805839164257,0.965100006222725,0.0,0.005079999886453151,0.003734967240598053,11917.5981875
73,1042.9941,0.81,0.35,0.29,0.0011841457,4420.7124,-4214.941013183594,0.8675000002384186,0.0,0.024639999587088825,0.0024577915568370374,4175.73199609375
74,-891.57733,0.99,0.01,0.0,0.002617772,22162.152,12077.849534179688,0.9313800024986267,0.0,0.02681999959796667,0.0030925617506727576,21281.1021484375
75,-1055.5946,0.19,0.79,0.78,0.0012809758,-17885.35,-22392.62883984375,0.2068000001758337,0.0630199998728931,0.6192600004673005,0.0019197798811364918,-20661.35273046875
76,-2574.4604,0.35,0.58,0.6,0.0010267005,-7638.538,-2276.3307489852905,0.440219997882843,0.9896400079727173,0.6918400032520294,0.0017465590247884393,-9654.182875976563
77,-705.4703,0.99,0.0,0.01,0.001603567,28322.588,10567.266078125,0.9996200003623963,0.0,7.999999821186065e-05,0.004140127142891288,26967.70078125
78,-3466.49,0.14,0.9,0.91,0.0015943071,-27721.998,-33884.08811328125,0.06853999986499548,0.0023799999468028547,0.6450399996638299,0.002512869989266619,-27871.079921875
79,-3219.9468,0.32,0.64,0.68,0.0011830002,-4631.372,-7706.349805419922,0.41625999802351,0.291880001693964,0.48739999693632124,0.002091330296592787,-6513.5579609375
80,5219.586,0.34,0.63,0.65,0.0016395471,-10759.77,-23413.846982421874,0.321300001591444,0.0,0.36962000051140786,0.0038823266073595734,-13516.29216015625
81,-863.16986,1.0,0.0,0.0,0.0017628785,20936.12,1127.3043781433105,0.989900008559227,0.0,0.0027399999387562276,0.00696658293530345,20264.7051171875
82,-417.92706,0.26,0.67,0.7,0.0014819871,-7313.9473,-17254.793439453126,0.2819000008553266,0.0,0.3504400012791157,0.003073859098367393,-8001.035556640625
83,-588.5874,0.51,0.42,0.52,0.0013171205,5867.1777,-9031.780150878907,0.49517999613285063,0.0,0.279220000654459,0.004024463868699968,3803.6205590820314
84,-4765.3745,0.44,0.36,0.52,0.001140083,2465.5254,-3620.297213232875,0.4125199978351593,0.13073999980837106,0.5096799963712693,0.0021387445067521183,839.4348547192812
85,883.0727,0.53,0.4,0.45,0.0019495364,5355.469,1567.281018746376,0.6630600007772446,0.0021799999512732027,0.23917999997735023,0.002353678793879226,5280.81438671875
86,-3890.5295,0.56,0.32,0.39,0.0015656681,7383.7285,5472.789146804809,0.6235199984908104,0.5146799956560135,0.39107999873161314,0.00217883940320462,5996.821395507813
87,-864.6634,0.6,0.36,0.36,0.0013113399,4008.3457,3801.450770465851,0.6169000003933907,0.30272000217437744,0.35364000076055524,0.0021131475500296803,2233.9027978630065
